timestamp;hash_rate;btc_market_price_usd;transaction_fees_btc;mempool_size;transaction_fees_usd;avg_fee_per_tx_btc;avg_fee_per_tx_usd
2023-02-08 00:00:00;269948142.514919;23254.790000;18.393597;;427739.239533;0.000000;0.000000
2023-02-08 03:00:00;275816580.395679;23218.550000;18.788281;;436136.510008;0.000000;0.000000
2023-02-08 06:00:00;281685018.276438;23182.310000;19.182964;;444533.780482;0.000000;0.000000
2023-02-08 09:00:00;287553456.157197;23146.070000;19.577648;43119464.500000;452931.050957;0.000000;0.000000
2023-02-08 12:00:00;293421894.037956;23109.830000;19.972331;44927956.250000;461328.321432;0.000000;0.000000
2023-02-08 15:00:00;299290331.918715;23073.590000;20.367014;46736448.000000;469725.591907;0.000000;0.000000
2023-02-08 18:00:00;305158769.799474;23037.350000;20.761698;48544939.750000;478122.862381;0.000000;0.000000
2023-02-08 21:00:00;311027207.680233;23001.110000;21.156381;50353431.500000;486520.132856;0.000000;0.000000
2023-02-09 00:00:00;316895645.560992;22964.870000;21.551065;50662756.250000;494917.403331;0.000000;0.000000
2023-02-09 03:00:00;313227871.885518;22818.517500;22.215010;50972081.000000;506233.409590;0.000000;0.000000
2023-02-09 06:00:00;309560098.210043;22672.165000;22.878956;51281405.750000;517549.415849;0.000000;0.000000
2023-02-09 09:00:00;305892324.534569;22525.812500;23.542901;51590730.500000;528865.422108;0.000000;0.000000
2023-02-09 12:00:00;302224550.859095;22379.460000;24.206846;52957107.375000;540181.428368;0.000000;0.000000
2023-02-09 15:00:00;298556777.183620;22233.107500;24.870792;54323484.250000;551497.434627;0.000000;0.000000
2023-02-09 18:00:00;294889003.508146;22086.755000;25.534737;55689861.125000;562813.440886;0.000000;0.000000
2023-02-09 21:00:00;291221229.832671;21940.402500;26.198682;57056238.000000;574129.447145;0.000000;0.000000
2023-02-10 00:00:00;287553456.157197;21794.050000;26.862628;57299165.166667;585445.453405;0.000000;0.000000
2023-02-10 03:00:00;288042492.647260;21774.612500;26.328629;57542092.333333;573368.344635;0.000000;0.000000
2023-02-10 06:00:00;288531529.137323;21755.175000;25.794630;57785019.500000;561291.235865;0.000000;0.000000
2023-02-10 09:00:00;289020565.627387;21735.737500;25.260630;60121797.750000;549214.127096;0.000000;0.000000
2023-02-10 12:00:00;289509602.117450;21716.300000;24.726631;62458576.000000;537137.018326;0.000000;0.000000
2023-02-10 15:00:00;289998638.607513;21696.862500;24.192632;64795354.250000;525059.909557;0.000000;0.000000
