draw_idx,btc_price,converged,total_miners,active_miners,pct_active,total_hash_rate,pool_hash_rate,pct_solo,pct_pool,pct_offline
0,194564.5849462255,True,500,500,1.0,492416.0,0.0,1.0,0.0,0.0
1,205823.86949368913,True,500,500,1.0,474046.0,0.0,1.0,0.0,0.0
2,126987.04361205791,True,500,500,1.0,501077.0,0.0,1.0,0.0,0.0
3,90035.95031795824,True,500,500,1.0,444061.0,0.0,1.0,0.0,0.0
4,228010.1381894746,True,500,500,1.0,479352.0,0.0,1.0,0.0,0.0
5,305028.86314009264,False,500,499,0.998,514053.0,0.0,0.998,0.0,0.002
6,165358.7388138091,True,500,500,1.0,469536.0,0.0,1.0,0.0,0.0
7,100821.62823892239,True,500,500,1.0,497420.0,0.0,1.0,0.0,0.0
8,138490.9176760087,True,500,500,1.0,509291.0,0.0,1.0,0.0,0.0
9,190158.65730569846,True,500,500,1.0,502299.0,0.0,1.0,0.0,0.0
10,98569.8861902381,True,500,500,1.0,475456.0,0.0,1.0,0.0,0.0
11,135365.4331639242,True,500,500,1.0,477187.0,0.0,1.0,0.0,0.0
12,141863.17042314124,True,500,500,1.0,451477.0,0.0,1.0,0.0,0.0
13,170612.18516735797,True,500,500,1.0,487532.0,0.0,1.0,0.0,0.0
14,75273.93998825485,True,500,500,1.0,473902.0,0.0,1.0,0.0,0.0
15,76006.35350432603,True,500,500,1.0,477650.0,0.0,1.0,0.0,0.0
16,100208.7342685638,True,500,500,1.0,474715.0,0.0,1.0,0.0,0.0
17,78704.17639110751,True,500,500,1.0,505046.0,0.0,1.0,0.0,0.0
18,116973.2878806132,True,500,500,1.0,488515.0,0.0,1.0,0.0,0.0
19,196282.11051416883,True,500,500,1.0,483540.0,0.0,1.0,0.0,0.0
20,119790.18924521387,True,500,500,1.0,465961.0,0.0,1.0,0.0,0.0
21,97375.9405012297,True,500,500,1.0,460276.0,0.0,1.0,0.0,0.0
22,60164.93162399433,True,500,500,1.0,492189.0,0.0,1.0,0.0,0.0
23,115706.45230579482,True,500,500,1.0,475402.0,0.0,1.0,0.0,0.0
